dataset,fold,L7,L8,L9,L10,L11,L12,L13,L14,L23,mid_band_mean,mid_band_max
oral_diseases,11,0.6177688539530645,0.615607199817726,0.6264505961874384,0.6310833902939167,0.6106468823574087,0.6483661806030228,0.6633582061213641,0.6459852282220703,0.6849462671831094,0.6324083171945014,0.6633582061213641
oral_diseases,12,0.6504262550315182,0.6118857750436698,0.6538894584947216,0.7323735475051264,0.7036037062352852,0.7598238019290652,0.7320460241512874,0.7435330751120225,0.7739709121288069,0.6984477054378371,0.7598238019290652
oral_diseases,13,0.7014097014097015,0.7011211011211012,0.6915972915972917,0.6852480852480853,0.6817848817848818,0.6853701853701855,0.705883005883006,0.7438561438561438,0.7233433233433233,0.6995337995337996,0.7438561438561438
oral_diseases,14,0.6935511856564488,0.705700147805411,0.6735323886639676,0.6373658505237453,0.6699055330634278,0.6587944219523167,0.6734978471820577,0.6531625538204487,0.7837237324079428,0.670688741083478,0.705700147805411
aptos2019,0,0.6481711410421209,0.6607260158199639,0.671222862079522,0.6629001623487281,0.637689545190273,0.6414738031974991,0.6221965126307584,0.6414792679434682,0.6513815944755426,0.6482324137815416,0.671222862079522
aptos2019,1,0.6391768303894225,0.6501411584723946,0.6492180419195301,0.6363112681314005,0.6486439282789347,0.6500956744412305,0.6483572998215,0.6409476813597196,0.6358481336761537,0.6453614853517666,0.6501411584723946
aptos2019,2,0.6114649387168285,0.6476770321662101,0.6320224043001638,0.6389565136289865,0.6695367159732153,0.6568210612603307,0.6397691808903603,0.6598772889984683,0.6509276047727148,0.6445156419918204,0.6695367159732153
aptos2019,3,0.6261989231825374,0.6387771193419816,0.6499124714648448,0.6768374622333494,0.6724229205025487,0.6498602243729245,0.6610794301978395,0.6851805680510316,0.6622186132326984,0.6575336399183822,0.6851805680510316
aptos2019,4,0.6071563363739536,0.6378327398326216,0.6273045825599901,0.6342067186388092,0.6321614959905714,0.6420186148418134,0.6182949127602202,0.6515009071767699,0.6332944915897002,0.6313095385218437,0.6515009071767699
aptos2019,5,0.6056636105202704,0.613904061945848,0.6404182090153732,0.6445221040671061,0.6398500189217594,0.6502547313264718,0.6167924492044873,0.6413465561145264,0.6166850495195018,0.6315939676394803,0.6502547313264718
aptos2019,6,0.6427095827656888,0.6635980603138685,0.6552024670225995,0.6704846636464084,0.6775877908303375,0.6748293191905098,0.6549525279721063,0.6590846216674658,0.671669553882146,0.6623061291761231,0.6775877908303375
aptos2019,7,0.6082567256678718,0.6143777109190509,0.6187895548959919,0.633692824050869,0.6434504715993518,0.6362776808453131,0.6334702441302281,0.6529954267615661,0.6459351765023863,0.6301638298587804,0.6529954267615661
aptos2019,8,0.6056127885714722,0.602192117889052,0.5932417573214325,0.6113596780968018,0.6127351417335923,0.6283066645686957,0.641058549887509,0.6161424035895607,0.6304553506508997,0.6138311377072645,0.641058549887509
aptos2019,9,0.6073925984439866,0.6085310765381384,0.5965146062472452,0.6218273103754787,0.6375298944646457,0.651730151850029,0.6431413582514407,0.6146674831166117,0.5945294469694252,0.6226668099109469,0.651730151850029
aptos2019,10,0.5823397449969591,0.6334069814866096,0.644422955739872,0.6377003902167524,0.6347770240417783,0.6277260862946106,0.6295770911456156,0.6277458742479165,0.6603215530373612,0.6272120185212643,0.644422955739872
aptos2019,11,0.5751146592894093,0.6059285063341122,0.6259041368129588,0.6166421869434687,0.5987444574016714,0.607129132230968,0.5905749658762476,0.6149129314371814,0.6144889787380985,0.6043688720407522,0.6259041368129588
aptos2019,12,0.6127305596126198,0.6149103206215747,0.5883539133292642,0.6218541677505478,0.6095882372348403,0.5930149048997353,0.6217574369054251,0.6327232975028646,0.6162698426394844,0.611866604732109,0.6327232975028646
aptos2019,13,0.6268029637224435,0.6378671197607299,0.6519443128277815,0.6369842893271223,0.6463774939313227,0.6487233723699755,0.6547111715687706,0.6524233024517075,0.6481723453581757,0.6444792532449817,0.6547111715687706
aptos2019,14,0.658571782156441,0.676982138275388,0.6866085910869668,0.6864075014139153,0.6675623981776558,0.6842592706503086,0.6500701776873943,0.6690025835885421,0.6738019848749326,0.6724330553795764,0.6866085910869668
