seed,arm,fold,kind,n_test,bacc_absdiff,mcc_absdiff,mae_plain_absdiff,macro_mae_true_absdiff,qwk_absdiff,recall_absdiff,cell_bacc_absdiff,logit_pred_mismatch
3,B1,9,main,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1,10,main,721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1,11,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1,12,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1,13,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1,14,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,0,main,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,1,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,2,main,741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,3,main,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,4,main,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,5,main,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,6,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,7,main,725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,8,main,724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,9,main,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,10,main,721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,11,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,12,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,13,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B4,14,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,0,main,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,1,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,2,main,741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,3,main,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,4,main,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,5,main,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,6,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,7,main,725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,8,main,724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,9,main,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,10,main,721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,11,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,12,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,13,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B0d,14,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,0,main,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,1,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,2,main,741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,3,main,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,4,main,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,5,main,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,6,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,7,main,725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,8,main,724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,9,main,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,10,main,721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,11,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,12,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,13,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,B1d,14,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,0,main,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,1,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,2,main,741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,3,main,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,4,main,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,5,main,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,6,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,7,main,725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,8,main,724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,9,main,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,10,main,721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,11,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,12,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,13,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B0,14,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,0,main,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,1,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,2,main,741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,3,main,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,4,main,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,5,main,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,6,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,7,main,725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,8,main,724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,9,main,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,10,main,721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,11,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,12,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,13,main,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B1,14,main,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B4,0,main,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B4,1,main,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,B4,2,main,741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
