dataset,task,scenario,prevalence,comparison,kind,w_star,pt_star,mean_tp_rate,mean_fp_rate,in_plot_range,exploratory,pt_star_upper,p_nb_sens,p_nb_spec,sign_interpretable,r10_note
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0 vs treat-all,preferred_above,0.06344836009148831,0.059662850094601545,0.3705606373488198,0.034406473881570615,True,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0 vs treat-none,preferred_below,10.770084683025477,0.9150388440754232,0.3705606373488198,0.034406473881570615,False,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B1 vs B0,preferred_above,2.7099601307424206,0.7304553243811047,0.3611862818916696,0.03094725123441604,False,탐색적/exploratory,,0.002219293781423275,0.06999973262919837,yes,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B1 vs treat-all,preferred_above,0.07970950363274927,0.07382495325322387,0.3611862818916696,0.03094725123441604,True,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B1 vs treat-none,preferred_below,11.671029493242973,0.9210798143486868,0.3611862818916696,0.03094725123441604,False,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B3 vs B0,preferred_above,0.6593365094120325,0.3973494861784612,0.36774055271024836,0.03012931859240538,False,탐색적/exploratory,,0.5565717878634124,0.11506641884511945,no,잡음 수준 — 부호 해석 금지 (Δ민감도 p=0.557)
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B3 vs treat-all,preferred_above,0.0679688760268362,0.06364312439488008,0.36774055271024836,0.03012931859240538,True,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B3 vs treat-none,preferred_below,12.205405561443524,0.9242734351968902,0.36774055271024836,0.03012931859240538,False,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B4 vs B0,preferred_above,0.8372118864689864,0.45569696812601107,0.36400760902248164,0.026579269762460334,False,탐색적/exploratory,,0.13313673431187875,0.0054564769090108,yes,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B4 vs treat-all,preferred_above,0.07412309670682753,0.06900800935580177,0.36400760902248164,0.026579269762460334,True,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B4 vs treat-none,preferred_below,13.6951696670235,0.9319504284292792,0.36400760902248164,0.026579269762460334,False,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0d vs treat-all,preferred_above,0.06819733466402456,0.06384338590909737,0.3681953048703211,0.03868623840444117,True,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B0d vs treat-none,preferred_below,9.517474948612536,0.9049201443420676,0.3681953048703211,0.03868623840444117,False,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B1d vs B0d,preferred_above,5.446366257017181,0.8448738467331961,0.3637351304741101,0.037867311768638,False,탐색적/exploratory,,0.021783443462333983,0.6398891821193611,no,잡음 수준 — 부호 해석 금지 (Δ특이도 p=0.640)
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B1d vs treat-all,preferred_above,0.07611777686514376,0.07073368594177833,0.3637351304741101,0.037867311768638,True,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B1d vs treat-none,preferred_below,9.605517621542871,0.9057094584456009,0.3637351304741101,0.037867311768638,False,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B2 vs B0,preferred_below,4.095978186775736,0.8037668209422404,0.3742935810365864,0.035317841940077074,False,탐색적/exploratory,,0.241392947295284,0.7128952580285306,no,잡음 수준 — 부호 해석 금지 (Δ민감도 p=0.241 · Δ특이도 p=0.713)
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B2 vs treat-all,preferred_above,0.05686943737328912,0.05380933099421502,0.3742935810365864,0.035317841940077074,True,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B2 vs treat-none,preferred_below,10.597861037818824,0.9137772045432209,0.3742935810365864,0.035317841940077074,False,탐색적/exploratory,,,,,
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B3d vs B0d,preferred_below,2.672586520947296,0.7277123372597732,0.36892452356635036,0.038959089700484825,False,탐색적/exploratory,,0.8346819824602107,0.9151895436738076,no,잡음 수준 — 부호 해석 금지 (Δ민감도 p=0.835 · Δ특이도 p=0.915)
aptos2019,fundus_referable_ge2,native,0.4060619953928387,B3d vs treat-all,preferred_above,0.06691690590215175,0.06271988524314262,0.36892452356635036,0.038959089700484825,True,탐색적/exploratory,,,,,
