dataset,arm,mode,fold,a,b,exploratory
aptos2019,B0,full,0,"[0.5090699791908264, 0.3471300005912781, 0.3352999985218048, 0.40077000856399536, 0.3799799978733063]","[-0.3068700134754181, 0.4224199950695038, -0.1764100044965744, 0.09312999993562698, -0.032269999384880066]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5915300250053406, 0.43470999598503113, -1.0748200416564941, 0.8782699704170227, 0.35335999727249146]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,0,"[0.4287700057029724, 0.3935999870300293, 0.3121800124645233, 0.3985599875450134, 0.36855998635292053]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,1,"[0.4507800042629242, 0.35041001439094543, 0.3212699890136719, 0.38569000363349915, 0.36000001430511475]","[-0.2630999982357025, 0.3570899963378906, -0.14624999463558197, 0.06323999911546707, -0.010970000177621841]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,1,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.6044800281524658, 0.4813700020313263, -1.1307100057601929, 0.9432600140571594, 0.3105599880218506]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,1,"[0.3885299861431122, 0.38901999592781067, 0.3026599884033203, 0.38262999057769775, 0.3519499897956848]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,2,"[0.4862099885940552, 0.36344999074935913, 0.34832999110221863, 0.41554999351501465, 0.38025999069213867]","[-0.2840999960899353, 0.41471999883651733, -0.21080000698566437, 0.016300000250339508, 0.06387999653816223]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,2,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.6068000197410583, 0.5241100192070007, -1.106819987297058, 0.8069800138473511, 0.38251999020576477]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,2,"[0.414900004863739, 0.4083099961280823, 0.32124999165534973, 0.40676000714302063, 0.3760400116443634]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,3,"[0.4912799894809723, 0.3039900064468384, 0.3078100085258484, 0.36667999625205994, 0.34182000160217285]","[-0.297870010137558, 0.4771299958229065, -0.18706999719142914, 0.025019999593496323, -0.01721999980509281]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,3,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.6399000287055969, 0.47409000992774963, -1.0651700496673584, 0.9048200249671936, 0.32615000009536743]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,3,"[0.41119998693466187, 0.35370999574661255, 0.2831299901008606, 0.3580999970436096, 0.33083999156951904]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,4,"[0.49566999077796936, 0.3303399980068207, 0.3396899998188019, 0.4175100028514862, 0.36921998858451843]","[-0.25282999873161316, 0.48058000206947327, -0.2078399956226349, -0.09707999974489212, 0.07717999815940857]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,4,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.4920800030231476, 0.3990100026130676, -1.0590399503707886, 0.8040900230407715, 0.3480199873447418]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,4,"[0.42250001430511475, 0.3830299973487854, 0.3145799934864044, 0.4009700119495392, 0.36713001132011414]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,5,"[0.49452000856399536, 0.37125998735427856, 0.3546600043773651, 0.42381998896598816, 0.3887700140476227]","[-0.2936500012874603, 0.4041000008583069, -0.20410999655723572, 0.08324000239372253, 0.010420000180602074]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5652700066566467, 0.4577699899673462, -1.0933200120925903, 0.9996299743652344, 0.20118999481201172]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,5,"[0.42170000076293945, 0.41710999608039856, 0.32802000641822815, 0.41971999406814575, 0.37981998920440674]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,6,"[0.4647800028324127, 0.3625600039958954, 0.3559100031852722, 0.4253999888896942, 0.3908100128173828]","[-0.24747000634670258, 0.4296700060367584, -0.2399500012397766, 0.01979999989271164, 0.037939999252557755]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,6,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.6044300198554993, 0.54093998670578, -1.1335400342941284, 0.8583499789237976, 0.3386799991130829]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,6,"[0.39785999059677124, 0.4106599986553192, 0.3271600008010864, 0.4169900119304657, 0.384909987449646]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,7,"[0.49472999572753906, 0.32763001322746277, 0.3277699947357178, 0.4077500104904175, 0.36750999093055725]","[-0.28099000453948975, 0.44398999214172363, -0.17747999727725983, -0.035930000245571136, 0.05040999874472618]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,7,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5710099935531616, 0.388590008020401, -1.1587799787521362, 0.9516400098800659, 0.3895699977874756]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,7,"[0.41784998774528503, 0.37419000267982483, 0.3051599860191345, 0.3960599899291992, 0.36309999227523804]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,8,"[0.49845999479293823, 0.3325999975204468, 0.326449990272522, 0.40062999725341797, 0.36083000898361206]","[-0.2938700020313263, 0.4520600140094757, -0.1530500054359436, -0.041680000722408295, 0.03654000163078308]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,8,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5432999730110168, 0.4447999894618988, -1.0613000392913818, 0.8747900128364563, 0.2850100100040436]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,8,"[0.4222800135612488, 0.3806299865245819, 0.3061000108718872, 0.3885200023651123, 0.3556300103664398]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
