bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6711051026214648,0.7514505306807671,0.21964529331514324,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",B0,aptos2019,0,2929,733
0.6427510783418102,0.7039616475677131,0.2742155525238745,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]",B0,aptos2019,1,2929,733
0.669678888616773,0.7435886113176439,0.22404371584699453,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",B0,aptos2019,2,2930,732
0.6579334418694952,0.7282364184219957,0.25,"[0.9806094182825484, 0.6621621621621622, 0.77, 0.3684210526315789, 0.5084745762711864]",B0,aptos2019,3,2930,732
0.6217396951613836,0.6958101207929825,0.2691256830601093,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]",B0,aptos2019,4,2930,732
0.6216648776322939,0.7116133714718393,0.252387448840382,"[0.997229916897507, 0.5540540540540541, 0.75, 0.23076923076923078, 0.576271186440678]",B0,aptos2019,5,2929,733
0.6681058110445875,0.7335939014819487,0.2291950886766712,"[0.9861495844875346, 0.5945945945945946, 0.765, 0.38461538461538464, 0.6101694915254238]",B0,aptos2019,6,2929,733
0.6499067993294952,0.7215755642917921,0.2581967213114754,"[0.9833795013850416, 0.6081081081081081, 0.77, 0.4473684210526316, 0.4406779661016949]",B0,aptos2019,7,2930,732
0.6385841893351165,0.7007058962560602,0.2677595628415301,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]",B0,aptos2019,8,2930,732
0.5892626060102722,0.6777541897220332,0.2923497267759563,"[0.9722991689750693, 0.5405405405405406, 0.7537688442211056, 0.20512820512820512, 0.4745762711864407]",B0,aptos2019,9,2930,732
0.6643416500574583,0.7452201549704509,0.21145975443383355,"[0.9916897506925207, 0.581081081081081, 0.805, 0.38461538461538464, 0.559322033898305]",B0,aptos2019,10,2929,733
0.6237506041183678,0.7039971028144936,0.26193724420190995,"[0.9750692520775623, 0.6216216216216216, 0.765, 0.3333333333333333, 0.423728813559322]",B0,aptos2019,11,2929,733
0.6377742198276025,0.7209997845774234,0.24863387978142076,"[0.9833795013850416, 0.6891891891891891, 0.775, 0.3684210526315789, 0.3728813559322034]",B0,aptos2019,12,2930,732
0.668620569675267,0.7486921087462012,0.2226775956284153,"[0.9806094182825484, 0.6486486486486487, 0.82, 0.3684210526315789, 0.5254237288135594]",B0,aptos2019,13,2930,732
0.6603350055989561,0.7290015290539137,0.24316939890710382,"[0.9806094182825484, 0.5675675675675675, 0.7839195979899497, 0.41025641025641024, 0.559322033898305]",B0,aptos2019,14,2930,732
0.653690343902936,0.7049616648752951,0.2605729877216917,"[0.9806094182825484, 0.6621621621621622, 0.69, 0.41025641025641024, 0.5254237288135594]",B1,aptos2019,0,2929,733
0.6559923879247322,0.6823980184757836,0.2987721691678035,"[0.96398891966759, 0.7027027027027027, 0.635, 0.4358974358974359, 0.5423728813559322]",B1,aptos2019,1,2929,733
0.6721492012694416,0.7091674645135138,0.26229508196721313,"[0.9778393351800554, 0.7162162162162162, 0.66, 0.4473684210526316, 0.559322033898305]",B1,aptos2019,2,2930,732
0.6813626448646872,0.7076934387931734,0.2691256830601093,"[0.9778393351800554, 0.7027027027027027, 0.65, 0.5, 0.576271186440678]",B1,aptos2019,3,2930,732
0.639772900608512,0.6885750368752487,0.2855191256830601,"[0.9750692520775623, 0.5675675675675675, 0.678391959798995, 0.38461538461538464, 0.5932203389830508]",B1,aptos2019,4,2930,732
0.6333829364546769,0.6795395742526313,0.286493860845839,"[0.9916897506925207, 0.581081081081081, 0.625, 0.358974358974359, 0.6101694915254238]",B1,aptos2019,5,2929,733
0.7017784607029173,0.7249539490024177,0.2551159618008186,"[0.9806094182825484, 0.7027027027027027, 0.66, 0.5384615384615384, 0.6271186440677966]",B1,aptos2019,6,2929,733
0.6726985888184067,0.7104438966442103,0.27049180327868855,"[0.9806094182825484, 0.6756756756756757, 0.68, 0.5526315789473685, 0.4745762711864407]",B1,aptos2019,7,2930,732
0.6370742745186616,0.6752887600165209,0.29508196721311475,"[0.96398891966759, 0.7027027027027027, 0.64, 0.42105263157894735, 0.4576271186440678]",B1,aptos2019,8,2930,732
0.6073471446234601,0.6662908859603406,0.31420765027322406,"[0.9667590027700831, 0.5945945945945946, 0.6683417085427136, 0.23076923076923078, 0.576271186440678]",B1,aptos2019,9,2930,732
0.6824855952392458,0.7228629352874615,0.24283765347885403,"[0.9833795013850416, 0.6486486486486487, 0.7, 0.48717948717948717, 0.5932203389830508]",B1,aptos2019,10,2929,733
0.6170272611290969,0.6594792217911875,0.3246930422919509,"[0.96398891966759, 0.6621621621621622, 0.625, 0.41025641025641024, 0.423728813559322]",B1,aptos2019,11,2929,733
0.633974861146888,0.6983007824209505,0.2814207650273224,"[0.9833795013850416, 0.7432432432432432, 0.685, 0.3684210526315789, 0.3898305084745763]",B1,aptos2019,12,2930,732
0.6739827742198277,0.7271452006004829,0.25,"[0.9722991689750693, 0.6891891891891891, 0.745, 0.42105263157894735, 0.5423728813559322]",B1,aptos2019,13,2930,732
0.6691026424499651,0.6955467045854117,0.27049180327868855,"[0.9750692520775623, 0.6216216216216216, 0.6432160804020101, 0.46153846153846156, 0.6440677966101694]",B1,aptos2019,14,2930,732
